ID,Species-Id-Mets-Score,Species-Id-Mets-Rank,Species-All-Mets-Score,Species-All-Mets-Rank,Enzymes-Id-Mets-Score,Enzymes-Id-Mets-Rank,Enzymes-All-Mets-Score,Enzymes-All-Mets-Rank
Diazinanes,,,0.2136,4591,,,0.2319,5824
Sulfated steroids,,,0.2201,4135,,,0.2028,7796
C18-neg_Cluster_0939,,,0.1974,5867,,,0.1711,9926
C18-neg_Cluster_0940,,,0.1966,5925,,,0.2357,5587
1-acyl-sn-glycero-3-phosphocholines,,,0.2573,2153,,,0.1872,8906
C18-neg_Cluster_0942,,,0.2268,3674,,,0.4672,155
C18-neg_Cluster_0943,,,0.2775,1547,,,0.2322,5791
2-monoacylglycerols,,,0.2378,3009,,,0.1846,9113
1-monoacylglycerols,,,0.2788,1513,,,0.3113,2167
C18-neg_Cluster_0946,,,0.1501,8680,,,0.2657,3937
Phenanthrenes and derivatives,,,0.1426,8845,,,0.2232,6374
C18-neg_Cluster_0948,,,0.1889,6551,,,0.287,3032
Acyl carnitines,,,0.2273,3642,,,0.196,8293
C18-neg_Cluster_0950,,,0.1851,6873,,,0.2266,6171
C18-neg_Cluster_0951,,,0.1788,7339,,,0.2447,5050
C18-neg_Cluster_0952,,,0.1801,7235,,,0.2292,5999
C18-neg_Cluster_0953,,,0.1693,7925,,,0.1832,9197
C18-neg_Cluster_0954,,,0.1854,6846,,,0.1885,8801
C18-neg_Cluster_0955,,,0.2638,1946,,,0.2723,3654
Benzidines,,,0.3189,787,,,0.2505,4710
C18-neg_Cluster_0957,,,0.2478,2542,,,0.1868,8933
C18-neg_Cluster_0958,,,0.1849,6891,,,0.1978,8146
C18-neg_Cluster_0959,,,0.1867,6731,,,0.1845,9123
C18-neg_Cluster_0960,,,0.2371,3051,,,0.1919,8572
C18-neg_Cluster_0961,,,0.1748,7612,,,0.2549,4494
Fatty acid esters,,,0.2702,1751,,,0.224,6333
C18-neg_Cluster_0963,,,0.2636,1959,,,0.4002,406
Benzyl alcohols,,,0.1409,8874,,,0.167,10146
C18-neg_Cluster_0965,,,0.2842,1388,,,0.2197,6620
C18-neg_Cluster_0966,,,0.1939,6160,,,0.1608,10389
C18-neg_Cluster_0967,,,0.224,3847,,,0.1973,8196
C18-neg_Cluster_0968,,,0.2459,2613,,,0.2997,2571
C18-neg_Cluster_0969,,,0.1499,8686,,,0.2326,5772
C18-neg_Cluster_0970,,,0.2167,4350,,,0.1812,9339
C18-neg_Cluster_0971,,,0.2532,2322,,,0.3305,1631
C18-neg_Cluster_0972,,,0.2391,2944,,,0.2815,3268
C18-neg_Cluster_0973,,,0.2062,5139,,,0.2375,5469
C18-neg_Cluster_0974,,,0.1733,7697,,,0.2409,5260
C18-neg_Cluster_0975,,,0.405,192,,,0.3562,990
C18-neg_Cluster_0976,,,0.2638,1947,,,0.3713,674
C18-neg_Cluster_0977,,,0.2112,4757,,,0.2124,7135
Vitamin D and derivatives,,,0.2857,1363,,,0.2054,7608
C18-neg_Cluster_0979,,,0.1551,8561,,,0.2751,3531
C18-neg_Cluster_0980,,,0.2572,2161,,,0.1909,8639
C18-neg_Cluster_0981,,,0.1498,8689,,,0.1738,9778
C18-neg_Cluster_0982,,,0.1863,6760,,,0.2158,6887
C18-neg_Cluster_0983,,,0.2103,4847,,,0.2268,6154
C18-neg_Cluster_0984,,,0.2162,4392,,,0.1383,10855
C18-neg_Cluster_0985,,,0.2115,4739,,,0.3094,2218
Diterpenoids,,,0.314,853,,,0.3968,429
Diterpenoids,,,0.1645,8200,,,0.3008,2521
C18-neg_Cluster_0988,,,0.1887,6579,,,0.1801,9411
Cinnamic acids and derivatives,,,0.2534,2312,,,0.3591,930
Trihydroxy bile acids, alcohols and derivatives,,,0.1865,6747,,,0.2856,3083
C18-neg_Cluster_0991,,,0.1531,8614,,,0.1831,9203
C18-neg_Cluster_0992,,,0.183,7018,,,0.1664,10166
Acyl carnitines,,,0.226,3717,,,0.2665,3895
Acyl carnitines,,,0.1492,8707,,,0.1761,9664
C18-neg_Cluster_0995,,,0.242,2810,,,0.193,8494
C18-neg_Cluster_0996,,,0.2543,2273,,,0.2278,6095
C18-neg_Cluster_0997,,,0.1987,5753,,,0.1987,8081
C18-neg_Cluster_0998,,,0.1945,6109,,,0.1578,10482
C18-neg_Cluster_0999,,,0.2824,1443,,,0.4797,126
C18-neg_Cluster_1000,,,0.2392,2939,,,0.1844,9126
C18-neg_Cluster_1001,,,0.2649,1918,,,0.3987,413
C18-neg_Cluster_1002,,,0.2481,2528,,,0.1439,10782
C18-neg_Cluster_1003,,,0.2421,2798,,,0.2368,5512
Fatty acid esters,,,0.1882,6604,,,0.1704,9958
C18-neg_Cluster_1005,,,0.1891,6541,,,0.1639,10264
C18-neg_Cluster_1006,,,0.3066,965,,,0.2097,7338
C18-neg_Cluster_1007,,,0.1821,7081,,,0.2547,4504
Biphenyls and derivatives,,,0.3313,650,,,0.1853,9053
C18-neg_Cluster_1009,,,0.2234,3894,,,0.1797,9446
Fatty acid esters,,,0.197,5891,,,0.1936,8452
C18-neg_Cluster_1011,,,0.2006,5594,,,0.3388,1426
C18-neg_Cluster_1012,,,0.2687,1799,,,0.3989,411
C18-neg_Cluster_1013,,,0.2742,1627,,,0.3923,470
C18-neg_Cluster_1014,,,0.2295,3508,,,0.3477,1236
C18-neg_Cluster_1015,,,0.2178,4283,,,0.1672,10135
Acyl carnitines,,,0.2759,1581,,,0.2905,2899
C18-neg_Cluster_1017,,,0.2336,3250,,,0.2119,7183
C18-neg_Cluster_1018,,,0.1745,7632,,,0.1519,10643
Peptidomimetics,,,0.2325,3319,,,0.1884,8805
Monoalkylglycerophosphates,,,0.2319,3361,,,0.1927,8512
Monoalkylglycerophosphates,,,0.1499,8687,,,0.2046,7671
Androgens and derivatives,,,0.234,3218,,,0.1964,8267
C18-neg_Cluster_1023,,,0.3513,465,,,0.4557,182
C18-neg_Cluster_1024,,,0.2078,5024,,,0.1676,10120
Beta-diketones,,,0.41,177,,,0.3876,505
Pyridopyrimidines,,,0.2489,2498,,,0.281,3291
C18-neg_Cluster_1027,,,0.1855,6836,,,0.414,333
C18-neg_Cluster_1028,,,0.1873,6677,,,0.2904,2901
C18-neg_Cluster_1029,,,0.1825,7058,,,0.2779,3415
C18-neg_Cluster_1030,,,0.3546,445,,,0.3092,2238
Beta-diketones,,,0.3557,438,,,0.2965,2688
C18-neg_Cluster_1032,,,0.2899,1268,,,0.2017,7875
C18-neg_Cluster_1033,,,0.1639,8231,,,0.1784,9531
C18-neg_Cluster_1034,,,0.2144,4514,,,0.189,8757
C18-neg_Cluster_1035,,,0.2364,3079,,,0.2412,5239
Alpha amino acids,,,0.3152,833,,,0.2076,7481
C18-neg_Cluster_1037,,,0.2924,1213,,,0.1975,8174
1-acyl-sn-glycerol-2,3-cyclic-phosphates,,,0.2109,4795,,,0.3053,2378
C18-neg_Cluster_1039,,,0.2358,3122,,,0.2021,7841
C18-neg_Cluster_1040,,,0.259,2105,,,0.1876,8865
C18-neg_Cluster_1041,,,0.1425,8847,,,0.1836,9172
C18-neg_Cluster_1042,,,0.156,8533,,,0.226,6216
C18-neg_Cluster_1043,,,0.2502,2447,,,0.3397,1398
C18-neg_Cluster_1044,,,0.3033,1024,,,0.3822,564
chenodeoxycholate,0.3191,314,0.2518,2395,0.3578,516,0.2525,4618
C18-neg_Cluster_1046,,,0.2088,4964,,,0.2101,7312
C18-neg_Cluster_1047,,,0.1939,6161,,,0.2188,6672
Amino acids, peptides, and analogues,,,0.2118,4720,,,0.1962,8278
Amino acids, peptides, and analogues,,,0.2167,4355,,,0.1831,9207
Furanoid lignans,,,0.1569,8505,,,0.1716,9900
C18-neg_Cluster_1051,,,0.1828,7030,,,0.2817,3256
Alanine and derivatives,,,0.1585,8448,,,0.3224,1855
C18-neg_Cluster_1053,,,0.2532,2323,,,0.154,10597
C18-neg_Cluster_1054,,,0.1933,6204,,,0.1817,9312
C18-neg_Cluster_1055,,,0.2188,4214,,,0.2177,6741
C18-neg_Cluster_1056,,,0.2555,2218,,,0.2478,4864
C18-neg_Cluster_1057,,,0.1976,5843,,,0.1967,8239
C18-neg_Cluster_1058,,,0.1839,6962,,,0.2156,6907
C18-neg_Cluster_1059,,,0.3199,775,,,0.4197,306
chenodeoxycholate,0.3025,386,0.2046,5256,0.3389,748,0.2294,5980
C18-neg_Cluster_1061,,,0.1557,8543,,,0.3112,2173
C18-neg_Cluster_1062,,,0.3985,214,,,0.3919,475
C18-neg_Cluster_1063,,,0.388,258,,,0.4398,225
C18-neg_Cluster_1064,,,0.2325,3320,,,0.1644,10245
C18-neg_Cluster_1065,,,0.1702,7868,,,0.2308,5888
C18-neg_Cluster_1066,,,0.216,4402,,,0.1865,8957
C18-neg_Cluster_1067,,,0.1954,6022,,,0.2809,3298
C18-neg_Cluster_1068,,,0.2026,5409,,,0.16,10418
Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids,,,0.1855,6837,,,0.273,3621
Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids,,,0.1742,7645,,,0.12,10931
Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids,,,0.169,7945,,,0.2141,7019
Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids,,,0.1971,5880,,,0.2788,3376
C18-neg_Cluster_1073,,,0.1852,6867,,,0.1712,9919
C18-neg_Cluster_1074,,,0.1731,7706,,,0.1742,9761
C18-neg_Cluster_1075,,,0.1631,8275,,,0.2535,4563
Eicosanoids,,,0.1737,7676,,,0.2133,7070
Vitamin D and derivatives,,,0.1558,8540,,,0.1861,8992
C18-neg_Cluster_1078,,,0.1568,8512,,,0.2086,7416
C18-neg_Cluster_1079,,,0.1532,8611,,,0.198,8133
C18-neg_Cluster_1080,,,0.1677,8037,,,0.2625,4085
glycolithocholic acid,0.2879,452,0.1812,7146,0.3186,980,0.1576,10489
C18-neg_Cluster_1082,,,0.2166,4359,,,0.1867,8939
C18-neg_Cluster_1083,,,0.2397,2912,,,0.4088,357
C18-neg_Cluster_1084,,,0.2308,3435,,,0.2847,3121
C18-neg_Cluster_1085,,,0.2245,3808,,,0.2303,5928
C18-neg_Cluster_1086,,,0.3093,922,,,0.4733,143
Diterpenoids,,,0.1918,6308,,,0.187,8918
C18-neg_Cluster_1088,,,0.204,5300,,,0.1641,10256
C18-neg_Cluster_1089,,,0.3328,637,,,0.2691,3789
C18-neg_Cluster_1090,,,0.2588,2112,,,0.2108,7251
C18-neg_Cluster_1091,,,0.2687,1802,,,0.173,9817
C18-neg_Cluster_1092,,,0.238,2995,,,0.2565,4392
C18-neg_Cluster_1093,,,0.1828,7031,,,0.2343,5665
C18-neg_Cluster_1094,,,0.1961,5967,,,0.2478,4866
C18-neg_Cluster_1095,,,0.2241,3840,,,0.1977,8154
C18-neg_Cluster_1096,,,0.1767,7485,,,0.3273,1734
C18-neg_Cluster_1097,,,0.2193,4190,,,0.215,6956
Benzopyrans,,,0.2035,5334,,,0.2094,7361
C18-neg_Cluster_1099,,,0.1902,6465,,,0.2313,5857
Dipeptides,,,0.2427,2766,,,0.3903,484
C18-neg_Cluster_1101,,,0.2332,3275,,,0.2552,4479
Hydroxy acids and derivatives,,,0.2693,1779,,,0.3008,2522
Hydroxy acids and derivatives,,,0.2142,4538,,,0.2714,3687
Hydroxy acids and derivatives,,,0.1788,7340,,,0.267,3876
Hydroxy acids and derivatives,,,0.1653,8166,,,0.2464,4943
Hydroxy acids and derivatives,,,0.2118,4721,,,0.2832,3182
Hydroxy acids and derivatives,,,0.2702,1752,,,0.3271,1738
Hydroxy acids and derivatives,,,0.3369,594,,,0.3474,1240
1-(1Z-alkenyl)-glycero-3-phosphoethanolamines,,,0.2668,1864,,,0.3175,1987
C18-neg_Cluster_1110,,,0.1735,7689,,,0.1601,10416
C18-neg_Cluster_1111,,,0.1882,6605,,,0.1702,9973
C18-neg_Cluster_1112,,,0.1892,6537,,,0.1697,10003
C18-neg_Cluster_1113,,,0.1982,5793,,,0.1919,8573
C18-neg_Cluster_1114,,,0.1856,6827,,,0.3195,1930
C18-neg_Cluster_1115,,,0.2305,3458,,,0.1967,8240
C18-neg_Cluster_1116,,,0.1957,5999,,,0.2291,6010
C18-neg_Cluster_1117,,,0.3869,264,,,0.2962,2699
C18-neg_Cluster_1118,,,0.2291,3530,,,0.2437,5112
C18-neg_Cluster_1119,,,0.1626,8296,,,0.2306,5907
C18-neg_Cluster_1120,,,0.1354,8946,,,0.2728,3633
C18-neg_Cluster_1121,,,0.4144,157,,,0.4743,140
C18-neg_Cluster_1122,,,0.2248,3791,,,0.1723,9860
C18-neg_Cluster_1123,,,0.3711,349,,,0.2926,2830
1-acyl-sn-glycero-3-phosphoethanolamines,,,0.2521,2380,,,0.3438,1311
1-acyl-sn-glycero-3-phosphoethanolamines,,,0.3046,1001,,,0.4748,138
2-acyl-sn-glycero-3-phosphoethanolamines,,,0.5524,28,,,0.4472,209
1-acyl-sn-glycero-3-phosphoethanolamines,,,0.2635,1961,,,0.3459,1266
1-acyl-sn-glycero-3-phosphoethanolamines,,,0.1617,8329,,,0.2526,4611
chenodeoxycholate,0.2987,406,0.219,4206,0.2812,1624,0.1874,8882
C18-neg_Cluster_1130,,,0.2477,2556,,,0.2935,2792
arachidonic acid,0.2163,641,0.2235,3881,0.3746,364,0.3649,761
C18-neg_Cluster_1132,,,0.2479,2535,,,0.1849,9087
C18-neg_Cluster_1133,,,0.2583,2125,,,0.3717,671
Phenylbutylamines,,,0.2152,4461,,,0.2254,6243
C18-neg_Cluster_1135,,,0.1874,6668,,,0.2874,3021
C18-neg_Cluster_1136,,,0.1543,8580,,,0.2203,6578
1-monoacylglycerols,,,0.2956,1152,,,0.266,3921
C18-neg_Cluster_1138,,,0.2029,5377,,,0.217,6801
C18-neg_Cluster_1139,,,0.166,8133,,,0.2175,6759
C18-neg_Cluster_1140,,,0.2272,3653,,,0.2092,7373
C18-neg_Cluster_1141,,,0.1986,5758,,,0.1896,8723
C18-neg_Cluster_1142,,,0.24,2896,,,0.2055,7604
C18-neg_Cluster_1143,,,0.1671,8068,,,0.1765,9639
C18-neg_Cluster_1144,,,0.1725,7746,,,0.1814,9325
C18-neg_Cluster_1145,,,0.2269,3671,,,0.2706,3723
C18-neg_Cluster_1146,,,0.1993,5694,,,0.1754,9698
C18-neg_Cluster_1147,,,0.1563,8527,,,0.3145,2081
C18-neg_Cluster_1148,,,0.2141,4546,,,0.2439,5104
C18-neg_Cluster_1149,,,0.29,1265,,,0.3546,1024
Ergostane steroids,,,0.2207,4079,,,0.3289,1690
C18-neg_Cluster_1151,,,0.1424,8851,,,0.1598,10424
C18-neg_Cluster_1152,,,0.3631,390,,,0.2211,6516
C18-neg_Cluster_1153,,,0.2961,1144,,,0.1809,9362
C18-neg_Cluster_1154,,,0.1896,6505,,,0.203,7779
C18-neg_Cluster_1155,,,0.2308,3433,,,0.1873,8895
C18-neg_Cluster_1156,,,0.3511,467,,,0.2195,6630
C18-neg_Cluster_1157,,,0.3062,973,,,0.3482,1223
Alpha amino acid esters,,,0.3084,934,,,0.2493,4784
C18-neg_Cluster_1159,,,0.1634,8260,,,0.3812,572
C18-neg_Cluster_1160,,,0.1676,8041,,,0.352,1141
C18-neg_Cluster_1161,,,0.2494,2475,,,0.1487,10715
C18-neg_Cluster_1162,,,0.1921,6284,,,0.259,4252
C18-neg_Cluster_1163,,,0.2543,2274,,,0.2696,3764
C18-neg_Cluster_1164,,,0.1748,7613,,,0.245,5028
C18-neg_Cluster_1165,,,0.2539,2288,,,0.4314,250
C18-neg_Cluster_1166,,,0.2314,3394,,,0.3514,1152
C18-neg_Cluster_1167,,,0.1803,7217,,,0.2201,6588
C18-neg_Cluster_1168,,,0.1607,8363,,,0.1908,8642
Amino acids, peptides, and analogues,,,0.2038,5318,,,0.1965,8262
Amino acids, peptides, and analogues,,,0.1939,6162,,,0.2604,4178
Acyl carnitines,,,0.2332,3276,,,0.3121,2147
C18-neg_Cluster_1172,,,0.2206,4087,,,0.1959,8301
C18-neg_Cluster_1173,,,0.4935,55,,,0.2442,5082
C18-neg_Cluster_1174,,,0.1995,5678,,,0.1874,8883
C18-neg_Cluster_1175,,,0.212,4709,,,0.1751,9712
C18-neg_Cluster_1176,,,0.1653,8167,,,0.3408,1371
C18-neg_Cluster_1177,,,0.1744,7636,,,0.2785,3385
cholate,0.3145,333,0.2062,5146,0.3428,713,0.2025,7811
C18-neg_Cluster_1179,,,0.2087,4970,,,0.2039,7716
Dihydroxy bile acids, alcohols and derivatives,,,0.1657,8146,,,0.3185,1960
C18-neg_Cluster_1181,,,0.2608,2055,,,0.2436,5117
Amino acids, peptides, and analogues,,,0.2014,5514,,,0.2002,7976
C18-neg_Cluster_1183,,,0.2138,4572,,,0.2403,5287
Flavonoids,,,0.1679,8026,,,0.1878,8848
Flavonoids,,,0.2783,1528,,,0.2862,3056
C18-neg_Cluster_1186,,,0.2275,3630,,,0.1673,10130
C18-neg_Cluster_1187,,,0.1796,7274,,,0.1736,9787
C18-neg_Cluster_1188,,,0.2279,3610,,,0.2322,5792
Triterpenoids,,,0.2192,4196,,,0.4053,375
Triterpenoids,,,0.3077,947,,,0.4005,403
Triterpenoids,,,0.2164,4371,,,0.226,6213
Triterpenoids,,,0.2213,4037,,,0.2915,2859
Triterpenoids,,,0.1369,8932,,,0.1614,10361
C18-neg_Cluster_1194,,,0.2482,2523,,,0.3002,2551
C18-neg_Cluster_1195,,,0.3804,296,,,0.2043,7693
glycodeoxycholic acid,0.3783,144,0.22,4142,0.4326,161,0.2515,4659
glycoursodeoxycholic acid,0.3669,165,0.2498,2458,0.4622,110,0.2673,3860
C18-neg_Cluster_1198,,,0.2292,3529,,,0.188,8830
Flavonoids,,,0.1971,5881,,,0.1921,8555
Flavonoids,,,0.1942,6133,,,0.2109,7247
C18-neg_Cluster_1201,,,0.1777,7423,,,0.1996,8016
C18-neg_Cluster_1202,,,0.3083,936,,,0.4406,223
C18-neg_Cluster_1203,,,0.2619,2015,,,0.3305,1632
C18-neg_Cluster_1204,,,0.2549,2252,,,0.2276,6110
C18-neg_Cluster_1205,,,0.2637,1951,,,0.2861,3061
C18-neg_Cluster_1206,,,0.2099,4871,,,0.1879,8838
C18-neg_Cluster_1207,,,0.2278,3618,,,0.1234,10917
C18-neg_Cluster_1208,,,0.2228,3931,,,0.2004,7962
Tetrahydroxy bile acids, alcohols and derivatives,,,0.1417,8862,,,0.2101,7310
Tetrahydroxy bile acids, alcohols and derivatives,,,0.1623,8306,,,0.2355,5604
Bile acids, alcohols and derivatives,,,0.2151,4466,,,0.1824,9250
2-acyl-sn-glycero-3-phosphoethanolamines,,,0.2084,4992,,,0.2401,5302
C18-neg_Cluster_1213,,,0.2204,4108,,,0.2357,5586
Flavonoids,,,0.2338,3233,,,0.2136,7054
C18-neg_Cluster_1215,,,0.1853,6864,,,0.2531,4586
Diphenylacetonitriles,,,0.1427,8840,,,0.1941,8414
C18-neg_Cluster_1217,,,0.309,926,,,0.3987,414
Prostaglandins and related compounds,,,0.249,2493,,,0.2489,4807
Diphenylacetonitriles,,,0.2183,4251,,,0.253,4591
C18-neg_Cluster_1220,,,0.1887,6575,,,0.1771,9606
C18-neg_Cluster_1221,,,0.1727,7739,,,0.3223,1859
C18-neg_Cluster_1222,,,0.1479,8732,,,0.2996,2581
C18-neg_Cluster_1223,,,0.2116,4732,,,0.2276,6111
C18-neg_Cluster_1224,,,0.2427,2767,,,0.227,6145
Kaurane diterpenoids,,,0.184,6957,,,0.3368,1470
C18-neg_Cluster_1226,,,0.1921,6285,,,0.286,3065
C18-neg_Cluster_1227,,,0.2167,4351,,,0.232,5814
C18-neg_Cluster_1228,,,0.1668,8086,,,0.3593,926
C18-neg_Cluster_1229,,,0.2061,5148,,,0.394,453
C18-neg_Cluster_1230,,,0.2918,1222,,,0.3291,1680
C18-neg_Cluster_1231,,,0.2336,3248,,,0.2757,3498
C18-neg_Cluster_1232,,,0.1523,8629,,,0.1272,10905
C18-neg_Cluster_1233,,,0.3517,462,,,0.3411,1367
1-acyl-sn-glycero-3-phosphoethanolamines,,,0.1911,6363,,,0.2052,7625
1-acyl-sn-glycero-3-phosphoethanolamines,,,0.2276,3627,,,0.2513,4670
Steroid lactones,,,0.1738,7670,,,0.1448,10771
C18-neg_Cluster_1237,,,0.181,7160,,,0.1815,9320
C18-neg_Cluster_1238,,,0.1809,7167,,,0.1697,10004
Glycosyl compounds,,,0.2952,1160,,,0.2597,4217
5,10-cycloaromadendrane sesquiterpenoids,,,0.2982,1107,,,0.4395,226
C18-neg_Cluster_1241,,,0.2163,4380,,,0.392,473
C18-neg_Cluster_1242,,,0.2522,2371,,,0.3647,766
C18-neg_Cluster_1243,,,0.2116,4733,,,0.2903,2903
C18-neg_Cluster_1244,,,0.3121,876,,,0.2246,6296
C18-neg_Cluster_1245,,,0.312,878,,,0.2956,2727
C18-neg_Cluster_1246,,,0.1975,5853,,,0.2643,3995
C18-neg_Cluster_1247,,,0.286,1353,,,0.3398,1394
C18-neg_Cluster_1248,,,0.239,2947,,,0.2288,6035
C18-neg_Cluster_1249,,,0.2132,4625,,,0.1981,8127
C18-neg_Cluster_1250,,,0.2895,1277,,,0.1822,9268
C18-neg_Cluster_1251,,,0.1556,8548,,,0.2829,3191
C18-neg_Cluster_1252,,,0.2118,4722,,,0.2028,7789
C18-neg_Cluster_1253,,,0.1968,5904,,,0.1514,10657
C18-neg_Cluster_1254,,,0.1483,8720,,,0.269,3793
C18-neg_Cluster_1255,,,0.1711,7812,,,0.212,7171
C18-neg_Cluster_1256,,,0.1871,6690,,,0.2842,3139
C18-neg_Cluster_1257,,,0.2066,5109,,,0.2009,7931
cholate,0.3149,330,0.1828,7032,0.3834,328,0.3298,1654
C18-neg_Cluster_1259,,,0.2091,4946,,,0.3116,2158
C18-neg_Cluster_1260,,,0.2096,4899,,,0.2927,2826
Triterpenoids,,,0.2795,1495,,,0.2781,3411
C18-neg_Cluster_1262,,,0.2842,1391,,,0.2362,5562
C18-neg_Cluster_1263,,,0.2212,4043,,,0.1938,8439
C18-neg_Cluster_1264,,,0.2222,3974,,,0.3336,1562
C18-neg_Cluster_1265,,,0.192,6293,,,0.2715,3685
C18-neg_Cluster_1266,,,0.2418,2819,,,0.2096,7344
C18-neg_Cluster_1267,,,0.1894,6521,,,0.2782,3399
C18-neg_Cluster_1268,,,0.204,5301,,,0.2185,6688
C18-neg_Cluster_1269,,,0.1735,7687,,,0.1557,10556
Bile acids, alcohols and derivatives,,,0.1638,8237,,,0.2322,5793
Triterpenoids,,,0.1744,7637,,,0.201,7925
Bile acids, alcohols and derivatives,,,0.1791,7314,,,0.1405,10827
cholate,0.3116,344,0.195,6058,0.289,1509,0.2189,6671
Triterpenoids,,,0.2755,1595,,,0.2527,4609
oleanolic acid,0.3351,259,0.2037,5325,0.4276,175,0.2975,2662
Tetracyclines,,,0.1696,7905,,,0.2018,7863
C18-neg_Cluster_1277,,,0.1975,5854,,,0.22,6595
Hydroxy acids and derivatives,,,0.1721,7763,,,0.3568,982
C18-neg_Cluster_1279,,,0.353,455,,,0.3442,1301
C18-neg_Cluster_1280,,,0.2533,2319,,,0.2806,3310
C18-neg_Cluster_1281,,,0.2356,3130,,,0.34,1389
Triterpenoids,,,0.1827,7038,,,0.1834,9186
C18-neg_Cluster_1283,,,0.2283,3583,,,0.2271,6137
C18-neg_Cluster_1284,,,0.1383,8912,,,0.1821,9278
C18-neg_Cluster_1285,,,0.2125,4674,,,0.2091,7381
C18-neg_Cluster_1286,,,0.1728,7727,,,0.1222,10924
C18-neg_Cluster_1287,,,0.2166,4360,,,0.1685,10066
C18-neg_Cluster_1288,,,0.2249,3778,,,0.2988,2616
Naphthofurans,,,0.1413,8869,,,0.2636,4031
C18-neg_Cluster_1290,,,0.2145,4510,,,0.4976,92
Naphthofurans,,,0.1581,8464,,,0.2676,3848
chenodeoxycholate,0.3386,245,0.2489,2499,0.2967,1377,0.1971,8208
C18-neg_Cluster_1293,,,0.3485,488,,,0.4028,390
C18-neg_Cluster_1294,,,0.2677,1831,,,0.2195,6631
Ergosterols and derivatives,,,0.2199,4151,,,0.4274,268
C18-neg_Cluster_1296,,,0.2244,3821,,,0.2175,6760
Organonitrogen compounds,,,0.2534,2313,,,0.3846,536
Melleolides and analogues,,,0.2272,3649,,,0.1984,8102
Triterpenoids,,,0.2696,1773,,,0.2533,4575
Tetrahydroxy bile acids, alcohols and derivatives,,,0.2735,1642,,,0.2374,5483
Tetrahydroxy bile acids, alcohols and derivatives,,,0.3512,466,,,0.2933,2806
Stigmastanes and derivatives,,,0.1857,6820,,,0.3351,1515
Stigmastanes and derivatives,,,0.1835,6988,,,0.1999,7999
Stigmastanes and derivatives,,,0.207,5083,,,0.2366,5534
Stigmastanes and derivatives,,,0.1874,6669,,,0.2875,3013
C18-neg_Cluster_1306,,,0.1904,6443,,,0.1721,9866
C18-neg_Cluster_1307,,,0.223,3920,,,0.2304,5922
C18-neg_Cluster_1308,,,0.1995,5679,,,0.1852,9060
C18-neg_Cluster_1309,,,0.197,5892,,,0.1397,10841
C18-neg_Cluster_1310,,,0.1911,6364,,,0.1637,10271
N-acyl-alpha amino acids,,,0.2133,4614,,,0.3089,2242
C18-neg_Cluster_1312,,,0.2126,4666,,,0.2305,5911
C18-neg_Cluster_1313,,,0.1788,7344,,,0.3326,1587
C18-neg_Cluster_1314,,,0.164,8227,,,0.2585,4283
Brassinolides and derivatives,,,0.2142,4527,,,0.2791,3363
Brassinolides and derivatives,,,0.1932,6210,,,0.1645,10238
C18-neg_Cluster_1317,,,0.1942,6134,,,0.1934,8466
C18-neg_Cluster_1318,,,0.1873,6678,,,0.2301,5945
Diterpenoids,,,0.4054,189,,,0.2767,3469
Diterpenoids,,,0.4209,138,,,0.2732,3615
C18-neg_Cluster_1321,,,0.1626,8297,,,0.1742,9762
C18-neg_Cluster_1322,,,0.1624,8302,,,0.1868,8934
C18-neg_Cluster_1323,,,0.2848,1376,,,0.2246,6297
docosapentaenoic acid,0.2404,614,0.1788,7341,0.402,262,0.3217,1876
C18-neg_Cluster_1325,,,0.2491,2487,,,0.1785,9522
Cholesterols and derivatives,,,0.2062,5147,,,0.3388,1427
C18-neg_Cluster_1327,,,0.2254,3748,,,0.2495,4773
Cholesterols and derivatives,,,0.2056,5185,,,0.2286,6052
Cholesterols and derivatives,,,0.2308,3436,,,0.1969,8221
Beta-diketones,,,0.3118,882,,,0.3374,1459
C18-neg_Cluster_1331,,,0.1813,7143,,,0.1652,10215
C18-neg_Cluster_1332,,,0.2058,5172,,,0.2533,4574
C18-neg_Cluster_1333,,,0.195,6059,,,0.1735,9792
C18-neg_Cluster_1334,,,0.3044,1006,,,0.3062,2343
C18-neg_Cluster_1335,,,0.2468,2582,,,0.2343,5666
Ketones,,,0.2908,1246,,,0.2628,4070
C18-neg_Cluster_1337,,,0.2478,2547,,,0.2224,6433
1-acyl-sn-glycero-3-phosphocholines,,,0.2324,3329,,,0.263,4064
C18-neg_Cluster_1339,,,0.2033,5352,,,0.2178,6733
1-acyl-sn-glycero-3-phosphocholines,,,0.2182,4259,,,0.1901,8695
C18-neg_Cluster_1341,,,0.2777,1543,,,0.2602,4198
C18-neg_Cluster_1342,,,0.3312,653,,,0.3229,1836
Dimethoxybenzenes,,,0.2344,3197,,,0.3511,1161
C18-neg_Cluster_1344,,,0.1652,8170,,,0.2756,3500
C18-neg_Cluster_1345,,,0.1649,8181,,,0.2102,7303
Steroid glucuronide conjugates,,,0.2128,4651,,,0.2622,4095
C18-neg_Cluster_1347,,,0.2279,3613,,,0.1969,8222
C18-neg_Cluster_1348,,,0.2362,3093,,,0.2998,2568
