ID,Id-Mets-Score,Id-Mets-Rank,All-Mets-Score,All-Mets-Rank
1.3.1.89: tRNA-dihydrouridine(47) synthase (NAD(P)(+)),0.3573,542,0.3559,995
1.3.1.9: Enoyl-[acyl-carrier-protein] reductase (NADH),0.2623,1979,0.2311,5870
1.3.1.90: tRNA-dihydrouridine(20a/20b) synthase (NAD(P)(+)),0.3135,1058,0.3541,1042
1.3.1.91: tRNA-dihydrouridine(20) synthase (NAD(P)(+)),0.2434,2232,0.3061,2347
1.3.1.93: Very-long-chain enoyl-CoA reductase,0.3541,606,0.3443,1297
1.3.1.94: Polyprenol reductase,0.3581,489,0.3595,914
1.3.1.98: UDP-N-acetylmuramate dehydrogenase,0.2442,2218,0.2672,3865
1.3.1.n3: Curcumin reductase,0.2879,1527,0.3049,2395
1.3.3.1: Transferred entry: 1.3.98.1,0.3701,391,0.4155,326
1.3.3.11: Pyrroloquinoline-quinone synthase,0.2732,1775,0.2513,4666
1.3.3.3: Coproporphyrinogen oxidase,0.2882,1520,0.3485,1217
1.3.3.4: Protoporphyrinogen oxidase,0.2867,1544,0.2126,7120
1.3.5.1: Succinate dehydrogenase (quinone),0.358,499,0.405,376
1.3.5.2: Dihydroorotate dehydrogenase (quinone),0.3379,760,0.3351,1514
1.3.5.3: Protoporphyrinogen IX dehydrogenase (menaquinone),0.2525,2118,0.3502,1177
1.3.5.4: Fumarate reductase (quinol),0.2741,1758,0.3595,915
1.3.7.11: 2,3-bis-O-geranylgeranyl-sn-glycero-phospholipid reductase,0.3762,352,0.3315,1614
1.3.7.9: 4-hydroxybenzoyl-CoA reductase,0.4097,233,0.3974,422
1.3.8.1: Short-chain acyl-CoA dehydrogenase,0.2989,1342,0.2344,5663
1.3.8.2: 4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming),0.2531,2110,0.2103,7291
1.3.8.7: Medium-chain acyl-CoA dehydrogenase,0.2353,2330,0.2392,5358
1.3.8.8: Long-chain-acyl-CoA dehydrogenase,0.2434,2233,0.2166,6831
1.3.98.1: Dihydroorotate oxidase (fumarate),0.2772,1707,0.2288,6029
1.3.99.1: Deleted entry,0.306,1211,0.418,313
1.3.99.2: Transferred entry: 1.3.8.1,0.465,104,0.4667,157
1.3.99.22: Coproporphyrinogen dehydrogenase,0.24,2275,0.2312,5860
1.3.99.3: Transferred entry: 1.3.8.7, 1.3.8.8 and 1.3.8.9,0.3075,1185,0.249,4800
1.3.99.5: 3-oxo-5-alpha-steroid 4-dehydrogenase (acceptor),0.327,888,0.3898,489
1.4.1.1: Alanine dehydrogenase,0.3239,918,0.4927,100
1.4.1.11: L-erythro-3,5-diaminohexanoate dehydrogenase,0.2723,1783,0.3235,1826
1.4.1.13: Glutamate synthase (NADPH),0.2666,1896,0.3307,1626
1.4.1.14: Glutamate synthase (NADH),0.3918,296,0.521,61
1.4.1.16: Diaminopimelate dehydrogenase,0.2748,1744,0.3179,1973
1.4.1.2: Glutamate dehydrogenase,0.3196,967,0.3775,612
1.4.1.21: Aspartate dehydrogenase,0.3588,476,0.5327,47
1.4.1.24: 3-dehydroquinate synthase II,0.3674,411,0.3228,1844
1.4.1.3: Glutamate dehydrogenase (NAD(P)(+)),0.3336,811,0.4653,158
1.4.1.4: Glutamate dehydrogenase (NADP(+)),0.2394,2288,0.3031,2445
1.4.1.9: Leucine dehydrogenase,0.302,1286,0.254,4539
1.4.3.1: D-aspartate oxidase,0.2883,1519,0.3131,2118
1.4.3.16: L-aspartate oxidase,0.2863,1550,0.3397,1397
1.4.3.19: Glycine oxidase,0.2666,1897,0.232,5812
1.4.3.21: Primary-amine oxidase,0.2399,2278,0.1977,8152
1.4.3.4: Monoamine oxidase,0.2732,1774,0.2378,5450
1.4.3.5: Pyridoxal 5'-phosphate synthase,0.333,818,0.3638,786
1.4.4.2: Glycine dehydrogenase (aminomethyl-transferring),0.4834,80,0.4693,151
1.4.5.1: D-amino acid dehydrogenase (quinone),0.2076,2553,0.2341,5681
1.4.7.1: Glutamate synthase (ferredoxin),0.3996,270,0.2543,4521
1.4.99.1: Transferred entry: 1.4.99.6,0.2793,1658,0.2351,5622
1.4.99.5: Glycine dehydrogenase (cyanide-forming),0.3086,1167,0.2563,4408
1.5.1.10: Saccharopine dehydrogenase (NADP(+), L-glutamate-forming),0.3135,1059,0.3541,1043
1.5.1.12: Transferred entry: 1.2.1.88,0.3464,677,0.2751,3529
1.5.1.15: Methylenetetrahydrofolate dehydrogenase (NAD(+)),0.3577,523,0.3359,1494
1.5.1.2: Pyrroline-5-carboxylate reductase,0.2372,2313,0.3234,1827
1.5.1.20: Methylenetetrahydrofolate reductase (NAD(P)H),0.3007,1318,0.3664,739
1.5.1.24: N(5)-(carboxyethyl)ornithine synthase,0.2984,1349,0.2922,2838
1.5.1.29: Transferred entry: 1.5.1.38, 1.5.1.39 and 1.5.1.41,0.3028,1274,0.2919,2847
1.5.1.3: Dihydrofolate reductase,0.2707,1811,0.2759,3493
1.5.1.30: Flavin reductase (NADPH),0.2533,2106,0.2337,5705
1.5.1.34: 6,7-dihydropteridine reductase,0.2377,2308,0.3174,1989
1.5.1.36: Flavin reductase (NADH),0.3434,707,0.3877,504
1.5.1.38: FMN reductase (NADPH),0.2488,2162,0.2799,3342
1.5.1.39: FMN reductase (NAD(P)H),0.3101,1146,0.3092,2227
1.5.1.41: Riboflavin reductase (NAD(P)H),0.2064,2559,0.2842,3137
1.5.1.42: FMN reductase (NADH),0.261,2003,0.3671,727
1.5.1.5: Methylenetetrahydrofolate dehydrogenase (NADP(+)),0.3638,445,0.2718,3674
1.5.1.7: Saccharopine dehydrogenase (NAD(+), L-lysine-forming),0.3789,343,0.4302,257
1.5.1.9: Saccharopine dehydrogenase (NAD(+), L-glutamate-forming),0.3475,667,0.2682,3826
1.5.3.1: Sarcosine oxidase,0.3479,663,0.4086,358
1.5.3.17: Non-specific polyamine oxidase,0.358,500,0.3588,934
1.5.3.2: N-methyl-L-amino-acid oxidase,0.2686,1858,0.3209,1892
1.5.5.1: Electron-transferring-flavoprotein dehydrogenase,0.2827,1598,0.2933,2803
1.5.5.2: Proline dehydrogenase,0.3576,530,0.3557,1001
1.5.8.2: Trimethylamine dehydrogenase,0.2907,1469,0.3308,1625
1.5.98.1: Methylenetetrahydromethanopterin dehydrogenase,0.3631,450,0.3291,1682
1.5.98.2: 5,10-methylenetetrahydromethanopterin reductase,0.3698,394,0.3285,1697
1.5.99.8: Transferred entry: 1.5.5.2,0.3151,1025,0.2779,3416
1.5.99.9: Transferred entry: 1.5.98.1,0.2924,1445,0.2187,6678
1.6.1.1: NAD(P)(+) transhydrogenase (Si-specific),0.234,2343,0.3667,733
1.6.1.2: NAD(P)(+) transhydrogenase (Re/Si-specific),0.2637,1951,0.2351,5623
1.6.2.2: Cytochrome-b5 reductase,0.3431,710,0.3492,1208
1.6.2.4: NADPH--hemoprotein reductase,0.3135,1060,0.3541,1044
1.6.3.1: NAD(P)H oxidase (H(2)O(2)-forming),0.2661,1904,0.2632,4051
1.6.5.10: NADPH dehydrogenase (quinone),0.26,2020,0.2498,4747
1.6.5.11: NADH dehydrogenase (quinone),0.2142,2520,0.2108,7256
1.6.5.2: NAD(P)H dehydrogenase (quinone),0.337,774,0.3441,1303
1.6.5.3: NADH:ubiquinone reductase (H(+)-translocating),0.333,819,0.3831,552
1.6.5.5: NADPH:quinone reductase,0.3223,938,0.3367,1473
1.6.5.8: NADH:ubiquinone reductase (Na(+)-transporting),0.3101,1143,0.3646,768
1.6.5.9: NADH:ubiquinone reductase (non-electrogenic),0.3564,564,0.3636,797
1.6.6.9: Trimethylamine-N-oxide reductase,0.2297,2390,0.2091,7382
1.6.99.1: NADPH dehydrogenase,0.3018,1293,0.2881,2985
1.6.99.3: NADH dehydrogenase,0.272,1791,0.3526,1125
1.6.99.5: Transferred entry: 1.6.5.11,0.4399,150,0.4203,302
1.7.1.13: PreQ(1) synthase,0.23,2387,0.2726,3638
1.7.1.15: Nitrite reductase (NADH),0.2799,1647,0.3684,716
1.7.1.4: Nitrite reductase (NAD(P)H),0.2724,1782,0.3004,2537
1.7.1.6: Azobenzene reductase,0.2501,2146,0.2017,7873
1.7.1.7: GMP reductase,0.4595,115,0.4877,111
1.7.2.1: Nitrite reductase (NO-forming),0.3186,981,0.3129,2123
1.7.2.2: Nitrite reductase (cytochrome; ammonia-forming),0.2912,1463,0.245,5026
1.7.2.3: Trimethylamine-N-oxide reductase (cytochrome c),0.4186,205,0.416,322
1.7.2.5: Nitric-oxide reductase (cytochrome c),0.3858,318,0.3702,692
1.7.3.3: Factor independent urate hydroxylase,0.2568,2065,0.2486,4817
1.7.5.2: Nitric oxide reductase (menaquinol),0.2992,1337,0.3415,1355
1.7.7.1: Ferredoxin--nitrite reductase,0.2932,1430,0.3265,1752
1.7.99.1: Hydroxylamine reductase,0.2421,2249,0.2226,6410
1.7.99.4: Nitrate reductase,0.3751,357,0.3797,590
1.8.1.14: CoA-disulfide reductase,0.2572,2060,0.2145,6990
1.8.1.15: Mycothione reductase,0.2415,2256,0.2283,6066
1.8.1.16: Glutathione amide reductase,0.3833,329,0.323,1835
1.8.1.2: Assimilatory sulfite reductase (NADPH),0.3717,385,0.3895,490
1.8.1.4: Dihydrolipoyl dehydrogenase,0.306,1212,0.289,2952
1.8.1.7: Glutathione-disulfide reductase,0.2938,1418,0.3741,643
1.8.1.8: Protein-disulfide reductase,0.2951,1405,0.3331,1583
1.8.1.9: Thioredoxin-disulfide reductase,0.2633,1960,0.269,3792
1.8.2.2: Thiosulfate dehydrogenase,0.2084,2548,0.2328,5764
1.8.3.2: Thiol oxidase,0.3543,602,0.3627,836
1.8.4.11: Peptide-methionine (S)-S-oxide reductase,0.312,1124,0.2914,2863
1.8.4.12: Peptide-methionine (R)-S-oxide reductase,0.3229,930,0.3438,1313
1.8.4.13: L-methionine (S)-S-oxide reductase,0.2539,2098,0.2982,2642
1.8.4.14: L-methionine (R)-S-oxide reductase,0.2614,1993,0.3573,967
1.8.4.2: Protein-disulfide reductase (glutathione),0.6069,12,0.6576,8
1.8.4.8: Phosphoadenylyl-sulfate reductase (thioredoxin),0.3435,706,0.3165,2021
1.8.5.1: Glutathione dehydrogenase (ascorbate),0.3581,490,0.3574,963
1.8.5.3: Dimethylsulfoxide reductase,0.2935,1424,0.3202,1908
1.8.7.1: Assimilatory sulfite reductase (ferredoxin),0.3069,1198,0.247,4908
1.8.98.1: CoB--CoM heterodisulfide reductase,0.4693,94,0.648,9
1.8.98.2: Sulfiredoxin,0.3577,524,0.3361,1492
1.8.99.1: Deleted entry,0.3579,509,0.2852,3100
1.8.99.2: Adenylyl-sulfate reductase,0.4292,171,0.4592,174
1.8.99.3: Hydrogensulfite reductase,0.5887,16,0.5479,35
1.9.3.1: Cytochrome-c oxidase,0.545,32,0.5123,69
1.97.1.12: Photosystem I,0.3013,1301,0.289,2950
1.97.1.4: [Formate-C-acetyltransferase]-activating enzyme,0.2357,2325,0.3182,1965
1.97.1.9: Selenate reductase,0.2862,1554,0.2796,3349
2.1.1.10: Homocysteine S-methyltransferase,0.2879,1528,0.2168,6816
2.1.1.100: Protein-S-isoprenylcysteine O-methyltransferase,0.3135,1061,0.3541,1045
2.1.1.104: Caffeoyl-CoA O-methyltransferase,0.3104,1139,0.2357,5591
2.1.1.107: Uroporphyrinogen-III C-methyltransferase,0.2992,1338,0.2539,4544
2.1.1.113: Site-specific DNA-methyltransferase (cytosine-N(4)-specific),0.5793,21,0.6079,17
2.1.1.114: Polyprenyldihydroxybenzoate methyltransferase,0.2645,1930,0.3092,2228
2.1.1.125: Histone-arginine N-methyltransferase,0.3378,762,0.3343,1542
2.1.1.13: Methionine synthase,0.2743,1752,0.2589,4256
2.1.1.130: Precorrin-2 C(20)-methyltransferase,0.2925,1441,0.3147,2071
2.1.1.131: Precorrin-3B C(17)-methyltransferase,0.4141,222,0.4072,363
2.1.1.132: Precorrin-6B C(5,15)-methyltransferase (decarboxylating),0.4646,105,0.4478,206
2.1.1.133: Precorrin-4 C(11)-methyltransferase,0.3903,302,0.3604,885
2.1.1.14: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,0.3063,1207,0.3099,2200
2.1.1.144: Trans-aconitate 2-methyltransferase,0.3235,924,0.2437,5111
2.1.1.145: Trans-aconitate 3-methyltransferase,0.3135,1062,0.3541,1046
2.1.1.148: Thymidylate synthase (FAD),0.533,39,0.4784,132
2.1.1.151: Cobalt-factor II C(20)-methyltransferase,0.2985,1347,0.3013,2497
2.1.1.152: Precorrin-6A synthase (deacetylating),0.2234,2453,0.2034,7749
2.1.1.163: Demethylmenaquinone methyltransferase,0.2112,2536,0.1976,8164
2.1.1.166: 23S rRNA (uridine(2552)-2'-O)-methyltransferase,0.2639,1945,0.3002,2547
2.1.1.168: 21S rRNA (uridine(2791)-2'-O)-methyltransferase,0.358,501,0.3626,839
2.1.1.17: Phosphatidylethanolamine N-methyltransferase,0.3474,669,0.3615,865
2.1.1.170: 16S rRNA (guanine(527)-N(7))-methyltransferase,0.2783,1692,0.3253,1777
2.1.1.171: 16S rRNA (guanine(966)-N(2))-methyltransferase,0.2771,1709,0.2925,2832
2.1.1.172: 16S rRNA (guanine(1207)-N(2))-methyltransferase,0.3252,906,0.3881,502
2.1.1.173: 23S rRNA (guanine(2445)-N(2))-methyltransferase,0.288,1525,0.2616,4128
2.1.1.174: 23S rRNA (guanine(1835)-N(2))-methyltransferase,0.2641,1943,0.3573,968
2.1.1.176: 16S rRNA (cytosine(967)-C(5))-methyltransferase,0.2257,2432,0.3365,1481
2.1.1.177: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase,0.2436,2227,0.2745,3561
2.1.1.178: 16S rRNA (cytosine(1407)-C(5))-methyltransferase,0.2954,1401,0.3997,408
2.1.1.181: 23S rRNA (adenine(1618)-N(6))-methyltransferase,0.263,1963,0.2582,4300
2.1.1.182: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase,0.2247,2443,0.266,3919
2.1.1.183: 18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase,0.358,502,0.3595,916
2.1.1.184: 23S rRNA (adenine(2085)-N(6))-dimethyltransferase,0.4463,137,0.4838,117
2.1.1.185: 23S rRNA (guanosine(2251)-2'-O)-methyltransferase,0.2428,2240,0.2837,3160
2.1.1.186: 23S rRNA (cytidine(2498)-2'-O)-methyltransferase,0.233,2356,0.3218,1870
2.1.1.187: 23S rRNA (guanine(745)-N(1))-methyltransferase,0.2548,2084,0.2724,3647
2.1.1.188: 23S rRNA (guanine(748)-N(1))-methyltransferase,0.2627,1970,0.2172,6783
2.1.1.189: 23S rRNA (uracil(747)-C(5))-methyltransferase,0.2574,2058,0.3297,1656
2.1.1.190: 23S rRNA (uracil(1939)-C(5))-methyltransferase,0.2771,1710,0.3067,2324
2.1.1.191: 23S rRNA (cytosine(1962)-C(5))-methyltransferase,0.2815,1618,0.3302,1639
2.1.1.192: 23S rRNA (adenine(2503)-C(2))-methyltransferase,0.2803,1637,0.3576,956
2.1.1.193: 16S rRNA (uracil(1498)-N(3))-methyltransferase,0.2387,2302,0.2912,2868
2.1.1.195: Cobalt-precorrin-5B (C(1))-methyltransferase,0.2893,1498,0.3236,1819
2.1.1.196: Cobalt-precorrin-6B (C(15))-methyltransferase (decarboxylating),0.3686,404,0.3344,1536
2.1.1.197: Malonyl-[acyl-carrier protein] O-methyltransferase,0.2894,1495,0.2859,3069
2.1.1.198: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase,0.254,2096,0.28,3335
2.1.1.199: 16S rRNA (cytosine(1402)-N(4))-methyltransferase,0.2065,2557,0.3026,2458
2.1.1.200: tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase,0.2508,2137,0.3374,1456
2.1.1.201: 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase,0.2542,2094,0.2959,2716
2.1.1.202: Multisite-specific tRNA:(cytosine-C(5))-methyltransferase,0.3135,1063,0.3541,1047
2.1.1.205: tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase,0.3135,1064,0.3541,1048
2.1.1.206: tRNA (cytidine(56)-2'-O)-methyltransferase,0.3636,448,0.3348,1522
2.1.1.207: tRNA (cytidine(34)-2'-O)-methyltransferase,0.2176,2489,0.2091,7392
2.1.1.211: tRNA(Ser) (uridine(44)-2'-O)-methyltransferase,0.3572,547,0.3559,996
2.1.1.214: tRNA (guanine(10)-N(2))-methyltransferase,0.3135,1065,0.3541,1049
2.1.1.216: tRNA (guanine(26)-N(2))-dimethyltransferase,0.3722,381,0.3374,1457
2.1.1.217: tRNA (adenine(22)-N(1))-methyltransferase,0.3122,1118,0.2496,4762
2.1.1.22: Carnosine N-methyltransferase,0.3572,548,0.3569,977
2.1.1.220: tRNA (adenine(58)-N(1))-methyltransferase,0.3576,531,0.3635,806
2.1.1.221: tRNA (guanine(9)-N(1))-methyltransferase,0.3135,1066,0.3541,1050
2.1.1.222: 2-polyprenyl-6-hydroxyphenol methylase,0.269,1846,0.35,1183
2.1.1.223: tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase,0.3115,1130,0.3206,1900
2.1.1.225: tRNA:m(4)X modification enzyme,0.3135,1067,0.3541,1051
2.1.1.228: tRNA (guanine(37)-N(1))-methyltransferase,0.2526,2115,0.3242,1806
2.1.1.229: tRNA (carboxymethyluridine(34)-5-O)-methyltransferase,0.2645,1931,0.3092,2229
2.1.1.233: [Phosphatase 2A protein]-leucine-carboxy methyltransferase,0.3135,1068,0.3541,1052
2.1.1.242: 16S rRNA (guanine(1516)-N(2))-methyltransferase,0.3369,776,0.4617,165
2.1.1.244: Protein N-terminal methyltransferase,0.3576,535,0.3553,1011
2.1.1.257: tRNA (pseudouridine(54)-N(1))-methyltransferase,0.2937,1421,0.2492,4790
2.1.1.260: rRNA small subunit pseudouridine methyltransferase Nep1,0.3135,1069,0.3541,1053
2.1.1.265: Tellurite methyltransferase,0.2194,2476,0.3253,1778
2.1.1.266: 23S rRNA (adenine(2030)-N(6))-methyltransferase,0.3592,472,0.3648,763
2.1.1.271: Cobalt-precorrin-4 methyltransferase,0.2847,1575,0.3165,2022
2.1.1.282: methyltransferase,0.3378,763,0.3323,1595
2.1.1.286: 25S rRNA (adenine(2142)-N(1))-methyltransferase,0.2787,1676,0.2196,6622
2.1.1.287: 25S rRNA (adenine(645)-N(1))-methyltransferase,0.3369,777,0.3316,1608
2.1.1.290: tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase,0.3583,481,0.3577,952
2.1.1.297: Peptide chain release factor N(5)-glutamine methyltransferase,0.2303,2384,0.2365,5543
2.1.1.298: Ribosomal protein L3 N(5)-glutamine methyltransferase,0.285,1573,0.3112,2171
2.1.1.310: 25S rRNA (cytosine(2870)-C(5))-methyltransferase,0.3135,1070,0.3541,1054
2.1.1.311: 25S rRNA (cytosine(2278)-C(5))-methyltransferase,0.353,621,0.3631,822
2.1.1.312: 25S rRNA (uracil(2843)-N(3))-methyltransferase,0.3135,1071,0.3541,1055
2.1.1.313: 25S rRNA (uracil(2634)-N(3))-methyltransferase,0.3564,565,0.3529,1114
2.1.1.314: Diphthine methyl ester synthase,0.3135,1072,0.3541,1056
2.1.1.33: tRNA (guanine(46)-N(7))-methyltransferase,0.2276,2418,0.2737,3597
2.1.1.34: tRNA (guanosine(18)-2'-O)-methyltransferase,0.3025,1278,0.3325,1588
2.1.1.35: tRNA (uracil(54)-C(5))-methyltransferase,0.2964,1385,0.3829,554
2.1.1.36: Transferred entry: 2.1.1.217, 2.1.1.218, 2.1.1.219 and 2.1.1.220,0.286,1558,0.2946,2752
2.1.1.37: DNA (cytosine-5-)-methyltransferase,0.3039,1252,0.2889,2955
2.1.1.41: Sterol 24-C-methyltransferase,0.3135,1073,0.3541,1057
2.1.1.43: Histone-lysine N-methyltransferase,0.3576,532,0.3634,812
2.1.1.45: Thymidylate synthase,0.2483,2168,0.248,4854
2.1.1.51: Transferred entry: 2.1.1.187 and 2.1.1.188,0.5852,18,0.6868,3
2.1.1.52: Transferred entry: 2.1.1.171, 2.1.1.172, 2.1.1.173 and 2.1.1.174,0.2867,1545,0.2525,4620
2.1.1.56:  ;  Q06996, L_SENDF    ;  O55528, L_SENDO,0.3577,525,0.3555,1006
2.1.1.59: [Cytochrome c]-lysine N-methyltransferase,0.358,496,0.3593,924
2.1.1.61: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,0.3369,778,0.2824,3216
2.1.1.62: mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase,0.3564,566,0.3627,837
2.1.1.63: Methylated-DNA--[protein]-cysteine S-methyltransferase,0.2471,2187,0.2369,5507
2.1.1.64: 3-demethylubiquinol 3-O-methyltransferase,0.2781,1694,0.2204,6571
2.1.1.66: Transferred entry: 2.1.1.230,0.3606,464,0.234,5686
2.1.1.67: Thiopurine S-methyltransferase,0.3446,696,0.2463,4950
2.1.1.71: Phosphatidyl-N-methylethanolamine N-methyltransferase,0.3135,1074,0.3541,1058
2.1.1.72: Site-specific DNA-methyltransferase (adenine-specific),0.4314,167,0.4527,192
2.1.1.74: (FADH(2)-oxidizing),0.306,1213,0.3315,1615
2.1.1.77: Protein-L-isoaspartate(D-aspartate) O-methyltransferase,0.2677,1873,0.2018,7862
2.1.1.79: Cyclopropane-fatty-acyl-phospholipid synthase,0.315,1028,0.2456,4994
2.1.1.8: Histamine N-methyltransferase,0.305,1238,0.2021,7840
2.1.1.80: Protein-glutamate O-methyltransferase,0.2881,1523,0.2979,2654
2.1.1.85: Protein-histidine N-methyltransferase,0.3583,482,0.3572,970
2.1.1.86: Tetrahydromethanopterin S-methyltransferase,0.3618,457,0.3302,1641
2.1.1.98: Diphthine synthase,0.3651,431,0.3239,1814
2.1.2.1: Glycine hydroxymethyltransferase,0.2349,2336,0.2609,4152
2.1.2.10: Aminomethyltransferase,0.2371,2314,0.2242,6320
2.1.2.11: 3-methyl-2-oxobutanoate hydroxymethyltransferase,0.3448,694,0.3655,758
2.1.2.2: Phosphoribosylglycinamide formyltransferase,0.2169,2496,0.2454,5003
2.1.2.3: Phosphoribosylaminoimidazolecarboxamide formyltransferase,0.4445,141,0.4649,161
2.1.2.5: Glutamate formimidoyltransferase,0.3392,746,0.2693,3780
2.1.2.8: Deoxycytidylate 5-hydroxymethyltransferase,0.2394,2283,0.2174,6765
2.1.2.9: Methionyl-tRNA formyltransferase,0.2191,2479,0.2844,3129
2.1.3.1: Methylmalonyl-CoA carboxytransferase,0.4675,96,0.3788,600
2.1.3.2: Aspartate carbamoyltransferase,0.2529,2112,0.3522,1138
2.1.3.3: Ornithine carbamoyltransferase,0.2263,2426,0.2834,3175
2.1.3.6: Putrescine carbamoyltransferase,0.2806,1631,0.2668,3882
2.1.3.9: N-acetylornithine carbamoyltransferase,0.3606,463,0.5108,71
2.10.1.1: Molybdopterin molybdotransferase,0.228,2412,0.2814,3270
2.2.1.1: Transketolase,0.2475,2183,0.2294,5983
2.2.1.10: 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase,0.4133,225,0.3084,2267
2.2.1.2: Transaldolase,0.2411,2260,0.2879,2994
2.2.1.3: Formaldehyde transketolase,0.2736,1768,0.2289,6023
2.2.1.6: Acetolactate synthase,0.2019,2570,0.2237,6346
2.2.1.7: 1-deoxy-D-xylulose-5-phosphate synthase,0.2853,1567,0.3495,1199
2.2.1.9: synthase,0.2343,2341,0.241,5252
2.3.1.1: Amino-acid N-acetyltransferase,0.2819,1608,0.2684,3815
2.3.1.101: Formylmethanofuran--tetrahydromethanopterin N-formyltransferase,0.3667,418,0.3297,1657
2.3.1.102: N(6)-hydroxylysine O-acetyltransferase,0.3199,964,0.2529,4592
2.3.1.109: Arginine N-succinyltransferase,0.249,2160,0.3239,1815
2.3.1.117: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase,0.3161,1015,0.2457,4983
2.3.1.118: N-hydroxyarylamine O-acetyltransferase,0.3065,1204,0.3514,1151
2.3.1.12: Dihydrolipoyllysine-residue acetyltransferase,0.3148,1032,0.3346,1526
2.3.1.128: Ribosomal-protein-alanine N-acetyltransferase,0.2506,2139,0.2216,6486
2.3.1.129: Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,0.2627,1971,0.2721,3660
2.3.1.15: Glycerol-3-phosphate 1-O-acyltransferase,0.2677,1874,0.3424,1338
2.3.1.157: Glucosamine-1-phosphate N-acetyltransferase,0.5099,52,0.3662,743
2.3.1.158: Phospholipid:diacylglycerol acyltransferase,0.3578,514,0.3598,899
2.3.1.16: Acetyl-CoA C-acyltransferase,0.2841,1581,0.3303,1636
2.3.1.168: Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase,0.2912,1464,0.2223,6441
2.3.1.169: CO-methylating acetyl-CoA synthase,0.5907,15,0.7822,1
2.3.1.174: 3-oxoadipyl-CoA thiolase,0.261,2004,0.3025,2465
2.3.1.179: Beta-ketoacyl-[acyl-carrier-protein] synthase II,0.2323,2367,0.3338,1557
2.3.1.18: Galactoside O-acetyltransferase,0.3361,788,0.3485,1219
2.3.1.180: Beta-ketoacyl-[acyl-carrier-protein] synthase III,0.239,2298,0.2799,3346
2.3.1.181: Lipoyl(octanoyl) transferase,0.2495,2155,0.3069,2319
2.3.1.182: (R)-citramalate synthase,0.4921,75,0.5057,81
2.3.1.183: Phosphinothricin acetyltransferase,0.3535,617,0.3103,2191
2.3.1.184: Acyl-homoserine-lactone synthase,0.3199,965,0.2926,2828
2.3.1.189: Mycothiol synthase,0.3648,436,0.3215,1881
2.3.1.19: Phosphate butyryltransferase,0.4631,109,0.4294,260
2.3.1.191: UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,0.2675,1876,0.3543,1030
2.3.1.193: tRNA(Met) cytidine acetyltransferase,0.3443,700,0.3936,456
2.3.1.199: Very-long-chain 3-oxoacyl-CoA synthase,0.4163,212,0.389,495
2.3.1.20: Diacylglycerol O-acyltransferase,0.3135,1075,0.3541,1059
2.3.1.202: UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase,0.2111,2538,0.2572,4354
2.3.1.203: UDP-N-acetylbacillosamine N-acetyltransferase,0.2757,1727,0.344,1306
2.3.1.204: Octanoyl-[GcvH]:protein N-octanoyltransferase,0.2811,1626,0.2313,5856
2.3.1.209: dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase,0.3182,985,0.2347,5645
2.3.1.210: dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase,0.2511,2132,0.3641,779
2.3.1.22: 2-acylglycerol O-acyltransferase,0.3135,1076,0.3541,1060
2.3.1.222: Phosphate propanoyltransferase,0.261,2005,0.3292,1672
2.3.1.225: Protein S-acyltransferase,0.3559,574,0.3639,784
2.3.1.23: 1-acylglycerophosphocholine O-acyltransferase,0.3378,764,0.3344,1537
2.3.1.230: 2-heptyl-4(1H)-quinolone synthase,0.3079,1175,0.2571,4361
2.3.1.231: methoxycarbonyltransferase,0.3583,483,0.3577,953
2.3.1.234: N(6)-L-threonylcarbamoyladenine synthase,0.2103,2540,0.2616,4129
2.3.1.24: Sphingosine N-acyltransferase,0.3569,554,0.3628,828
2.3.1.241: Kdo(2)-lipid IV(A) lauroyltransferase,0.2498,2152,0.3497,1193
2.3.1.242: Kdo(2)-lipid IV(A) palmitoleoyltransferase,0.2437,2225,0.3092,2230
2.3.1.243: Lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase,0.3363,786,0.3637,791
2.3.1.247: 3-keto-5-aminohexanoate cleavage enzyme,0.2603,2015,0.3198,1920
